home_team,away_team,home_goals,away_goals,status,winner,date,stage,group
Mexico,South Africa,2.0,0.0,FINISHED,HOME_TEAM,2026-06-11T19:00:00Z,GROUP_STAGE,GROUP_A
South Korea,Czechia,2.0,1.0,FINISHED,HOME_TEAM,2026-06-12T02:00:00Z,GROUP_STAGE,GROUP_A
Canada,Bosnia-Herzegovina,1.0,1.0,FINISHED,DRAW,2026-06-12T19:00:00Z,GROUP_STAGE,GROUP_B
United States,Paraguay,4.0,1.0,FINISHED,HOME_TEAM,2026-06-13T01:00:00Z,GROUP_STAGE,GROUP_D
Qatar,Switzerland,1.0,1.0,FINISHED,DRAW,2026-06-13T19:00:00Z,GROUP_STAGE,GROUP_B
Brazil,Morocco,1.0,1.0,FINISHED,DRAW,2026-06-13T22:00:00Z,GROUP_STAGE,GROUP_C
Haiti,Scotland,0.0,1.0,FINISHED,AWAY_TEAM,2026-06-14T01:00:00Z,GROUP_STAGE,GROUP_C
Australia,Turkey,2.0,0.0,FINISHED,HOME_TEAM,2026-06-14T04:00:00Z,GROUP_STAGE,GROUP_D
Germany,Curacao,7.0,1.0,FINISHED,HOME_TEAM,2026-06-14T17:00:00Z,GROUP_STAGE,GROUP_E
Netherlands,Japan,2.0,2.0,FINISHED,DRAW,2026-06-14T20:00:00Z,GROUP_STAGE,GROUP_F
Ivory Coast,Ecuador,1.0,0.0,FINISHED,HOME_TEAM,2026-06-14T23:00:00Z,GROUP_STAGE,GROUP_E
Sweden,Tunisia,5.0,1.0,FINISHED,HOME_TEAM,2026-06-15T02:00:00Z,GROUP_STAGE,GROUP_F
Spain,Cape Verde Islands,0.0,0.0,FINISHED,DRAW,2026-06-15T16:00:00Z,GROUP_STAGE,GROUP_H
Belgium,Egypt,1.0,1.0,FINISHED,DRAW,2026-06-15T19:00:00Z,GROUP_STAGE,GROUP_G
Saudi Arabia,Uruguay,1.0,1.0,FINISHED,DRAW,2026-06-15T22:00:00Z,GROUP_STAGE,GROUP_H
Iran,New Zealand,2.0,2.0,FINISHED,DRAW,2026-06-16T01:00:00Z,GROUP_STAGE,GROUP_G
France,Senegal,3.0,1.0,FINISHED,HOME_TEAM,2026-06-16T19:00:00Z,GROUP_STAGE,GROUP_I
Iraq,Norway,1.0,4.0,FINISHED,AWAY_TEAM,2026-06-16T22:00:00Z,GROUP_STAGE,GROUP_I
Argentina,Algeria,3.0,0.0,FINISHED,HOME_TEAM,2026-06-17T01:00:00Z,GROUP_STAGE,GROUP_J
Austria,Jordan,3.0,1.0,FINISHED,HOME_TEAM,2026-06-17T04:00:00Z,GROUP_STAGE,GROUP_J
Portugal,Congo DR,1.0,1.0,FINISHED,DRAW,2026-06-17T17:00:00Z,GROUP_STAGE,GROUP_K
England,Croatia,4.0,2.0,FINISHED,HOME_TEAM,2026-06-17T20:00:00Z,GROUP_STAGE,GROUP_L
Ghana,Panama,1.0,0.0,FINISHED,HOME_TEAM,2026-06-17T23:00:00Z,GROUP_STAGE,GROUP_L
Uzbekistan,Colombia,1.0,3.0,FINISHED,AWAY_TEAM,2026-06-18T02:00:00Z,GROUP_STAGE,GROUP_K
Czechia,South Africa,1.0,1.0,FINISHED,DRAW,2026-06-18T16:00:00Z,GROUP_STAGE,GROUP_A
Switzerland,Bosnia-Herzegovina,4.0,1.0,FINISHED,HOME_TEAM,2026-06-18T19:00:00Z,GROUP_STAGE,GROUP_B
Canada,Qatar,6.0,0.0,FINISHED,HOME_TEAM,2026-06-18T22:00:00Z,GROUP_STAGE,GROUP_B
Mexico,South Korea,1.0,0.0,FINISHED,HOME_TEAM,2026-06-19T01:00:00Z,GROUP_STAGE,GROUP_A
United States,Australia,2.0,0.0,FINISHED,HOME_TEAM,2026-06-19T19:00:00Z,GROUP_STAGE,GROUP_D
Scotland,Morocco,0.0,1.0,FINISHED,AWAY_TEAM,2026-06-19T22:00:00Z,GROUP_STAGE,GROUP_C
Brazil,Haiti,3.0,0.0,FINISHED,HOME_TEAM,2026-06-20T00:30:00Z,GROUP_STAGE,GROUP_C
Turkey,Paraguay,0.0,1.0,FINISHED,AWAY_TEAM,2026-06-20T03:00:00Z,GROUP_STAGE,GROUP_D
Netherlands,Sweden,5.0,1.0,FINISHED,HOME_TEAM,2026-06-20T17:00:00Z,GROUP_STAGE,GROUP_F
Germany,Ivory Coast,2.0,1.0,FINISHED,HOME_TEAM,2026-06-20T20:00:00Z,GROUP_STAGE,GROUP_E
Ecuador,Curacao,0.0,0.0,FINISHED,DRAW,2026-06-21T00:00:00Z,GROUP_STAGE,GROUP_E
Tunisia,Japan,0.0,4.0,FINISHED,AWAY_TEAM,2026-06-21T04:00:00Z,GROUP_STAGE,GROUP_F
Spain,Saudi Arabia,4.0,0.0,FINISHED,HOME_TEAM,2026-06-21T16:00:00Z,GROUP_STAGE,GROUP_H
Belgium,Iran,0.0,0.0,FINISHED,DRAW,2026-06-21T19:00:00Z,GROUP_STAGE,GROUP_G
Uruguay,Cape Verde Islands,2.0,2.0,FINISHED,DRAW,2026-06-21T22:00:00Z,GROUP_STAGE,GROUP_H
New Zealand,Egypt,1.0,3.0,FINISHED,AWAY_TEAM,2026-06-22T01:00:00Z,GROUP_STAGE,GROUP_G
Argentina,Austria,2.0,0.0,FINISHED,HOME_TEAM,2026-06-22T17:00:00Z,GROUP_STAGE,GROUP_J
France,Iraq,3.0,0.0,FINISHED,HOME_TEAM,2026-06-22T21:00:00Z,GROUP_STAGE,GROUP_I
Norway,Senegal,3.0,2.0,FINISHED,HOME_TEAM,2026-06-23T00:00:00Z,GROUP_STAGE,GROUP_I
Jordan,Algeria,1.0,2.0,FINISHED,AWAY_TEAM,2026-06-23T03:00:00Z,GROUP_STAGE,GROUP_J
Portugal,Uzbekistan,5.0,0.0,FINISHED,HOME_TEAM,2026-06-23T17:00:00Z,GROUP_STAGE,GROUP_K
England,Ghana,0.0,0.0,FINISHED,DRAW,2026-06-23T20:00:00Z,GROUP_STAGE,GROUP_L
Panama,Croatia,0.0,1.0,FINISHED,AWAY_TEAM,2026-06-23T23:00:00Z,GROUP_STAGE,GROUP_L
Colombia,Congo DR,1.0,0.0,FINISHED,HOME_TEAM,2026-06-24T02:00:00Z,GROUP_STAGE,GROUP_K
